Question,Answer,Predictive Answer
how do most ants travel,by walking,most adult males weigh 350650 kg 
is vietnamese the mother tongue of the vietnamese people,yes,yes 
what makes a trumpet fully chromatic,able to play all twelve pitches of western music,pleurodira 
what are the largest and politically dominant ethnic group,the javanese,the largest primarily frenchspeaking 
have there been other us presidents that have visited cuba,no,no 
what is the name of the event that draws the worlds top riders to malaysia,kl grand prix csi 5,pleurodira 
what is james watt most famous for,steam engine,its tongue 
when did lincoln begin his political career,1832,1832 
how many years ago was it when he became the third in his family to occupy the physics chair at the musum national dhistoire naturelle,117,53 
what family is the panda a part of,ursidae,brass 
what cello manufacturer should i buy from if i want to play outside,luis  clark,in 1776 the spanish established a fort at the golden gate and a mission named for francis of assisi on the site 
where was the league of nations created,paris,no 
was mission bay campus opened in 2003,yes,yes 
who was his mentor,john mad jack fuller,john mad jack fuller 
in which country is portuguese the coofficial language with cantonese chinese,portuguese is the coofficial language with cantonese chinese in macau,much vocabulary has been borrowed from chinese 
did he suffer from anxiety and increasingly frequent bouts of mental illness throughout his life and died largely unknown at the age of 37 from a selfinflicted gunshot wound,yes,yes 
what animal attracts the most humor and silliness,the duck,the federalist party 
did roosevelt support racial integration in schools,yes,yes 
what did clevelands opponents say in 1884 to counter his innocent image,that he had fathered an illegitimate child while he was a lawyer in buffalo,they are food to beetles 
is canada a geographically vast and ethnically diverse country,yes,yes 
is swahili a bantu language,yes,yes 
did france cede nearly all of its colonies in europe in 1763,yes,yes 
what would a german call avogadros number,loschmidt number,loschmidt number 
does the octopus have a hard beak,yes the octopus has a hard beak,yes 
have penguins an average sense of hearing for birds,yes,yes 
what are the two materials that bows are made of traditionally,traditionally bows are made from pernambuco or brazilwood,pleurodira 
what are zebras hunted for,mainly for their skins,the federalist party 
what is the first number on the page,28,28 
is amedeo avogadro italian,yes,yes 
what does the prc government classify as literacy amongst workers,knowledge of 2000 characters,the federalist party 
are otters very active,yes,yes 
is english the official language,yes,no 
where french has a similar phenomenon with alveolar affricates instead of postalveolars,quebec,brass tubing bent twice into an oblong shape 
is the nauen plain north of berlin,no the nauen plain stretches to the west of berlin,no 
are there also a variety of regional languages in addition,yes,yes 
when was henri becquerel born,december 15 1852,paris 
why do kangaroos have a wide bite,the two sides of the lower jaw are not joined together and the lower incisors are farther apart,because they are born with brown rather than black 
can some cylindrical shell drums have no drum heads,no,no 
could blaise pascal move without crutches,no,no 
does egypts foreign policy operates along moderate lines,yes,yes 
how do turtles reproduce,they lay eggs,they are food to beetles 
was fillmore the first us president born after the death of a former president,yes,yes 
did cartier not use the word  canada  to refer to not only that village  but the entire area subject to donnacona  chief at stadacona,yes,yes 
did henri becquerel intentionally discover radioactivity,he discovered it accidentally,no 
when did netwon investigate the refraction of light,16701672,no 
what year did coolidge open his own law office,1898,1898 
when did the gettysburg address argue that america was born,1776,paris 
what are the smallest trumpets referred to as,piccolo trumpets,the federalist party 
wasnt portuguese language spread by arriving roman soldiers,yes,yes 
how many siblings did faraday have,two,six 
are all spoken varieties of chinese tonal and analytical,yes,yes 
when did the crime level become higher,after the october revolution,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
