Question,Answer,Predictive Answer
are nationals referred to by the plural  liechtensteiners,yes,yes 
have more than five presidents lived past the age of 90,no,no 
has the name pascal been given to the si unit of pressure,yes,yes 
do chinese and japanese have spaces between words,no chinese and japanese do not have spaces between words,no chinese and japanese do not have wings 
how do most ants travel,by walking,most ants travel by walking 
is vietnamese the mother tongue of the vietnamese people,yes,yes 
what makes a trumpet fully chromatic,able to play all twelve pitches of western music,mandarin 
what are the largest and politically dominant ethnic group,the javanese,the largest primarily frenchspeaking city in the western world 
have there been other us presidents that have visited cuba,no,no 
what is the name of the event that draws the worlds top riders to malaysia,kl grand prix csi 5,malay 
what is james watt most famous for,steam engine,steam engine 
when did lincoln begin his political career,1832,park 
how many years ago was it when he became the third in his family to occupy the physics chair at the musum national dhistoire naturelle,117,is 
what family is the panda a part of,ursidae,brass tubing 
what cello manufacturer should i buy from if i want to play outside,luis  clark,is 
where was the league of nations created,paris,paris 
was mission bay campus opened in 2003,yes,yes 
who was his mentor,john mad jack fuller,john mad jack fuller 
in which country is portuguese the coofficial language with cantonese chinese,portuguese is the coofficial language with cantonese chinese in macau,macau 
did he suffer from anxiety and increasingly frequent bouts of mental illness throughout his life and died largely unknown at the age of 37 from a selfinflicted gunshot wound,yes,wilson era 
what animal attracts the most humor and silliness,the duck,the leopards ecological role 
did roosevelt support racial integration in schools,yes,volta was strong in biology 
what did clevelands opponents say in 1884 to counter his innocent image,that he had fathered an illegitimate child while he was a lawyer in buffalo,that he had fathered an illegitimate child building he possessed at blois 
is canada a geographically vast and ethnically diverse country,yes,yes 
is swahili a bantu language,yes,yes 
did france cede nearly all of its colonies in europe in 1763,yes,yes 
what would a german call avogadros number,loschmidt number,loschmidt number 
does the octopus have a hard beak,yes the octopus has a hard beak,yes the octopus has a hard beak 
have penguins an average sense of hearing for birds,yes,yes 
what are the two materials that bows are made of traditionally,traditionally bows are made from pernambuco or brazilwood,traditionally and lumber 
what are zebras hunted for,mainly for their skins,honey 
what is the first number on the page,28,28 
is amedeo avogadro italian,yes,yes 
what does the prc government classify as literacy amongst workers,knowledge of 2000 characters,black 
are otters very active,yes,yes 
is english the official language,yes,yes 
where french has a similar phenomenon with alveolar affricates instead of postalveolars,quebec,quebec 
is the nauen plain north of berlin,no the nauen plain stretches to the west of berlin,no 
are there also a variety of regional languages in addition,yes,yes 
when was henri becquerel born,december 15 1852,paris 
why do kangaroos have a wide bite,the two sides of the lower jaw are not joined together and the lower incisors are farther apart,is 
can some cylindrical shell drums have no drum heads,no,snares 
could blaise pascal move without crutches,no,wilson fathered 
does egypts foreign policy operates along moderate lines,yes,yes 
how do turtles reproduce,they lay eggs,is 
was fillmore the first us president born after the death of a former president,yes,yes 
did cartier not use the word  canada  to refer to not only that village  but the entire area subject to donnacona  chief at stadacona,yes,yes 
did henri becquerel intentionally discover radioactivity,he discovered it accidentally,he discovered it accidentally 
when did netwon investigate the refraction of light,16701672,16701672 
what year did coolidge open his own law office,1898,1898 
when did the gettysburg address argue that america was born,1776,at woolsthorpe 
what are the smallest trumpets referred to as,piccolo trumpets,best experimentalist in the history of science 
